league,number,sport,championship,month,year,date,t1,t1loc
NCAA D1 - Men,22,american_football-men,FBS,January,1890,1/1/1890,Princeton University,"Princeton, New Jersey"
NCAA D1 - Men,23,american_football-men,FBS,January,1891,1/1/1891,Harvard University,"Cambridge, Massachusetts"
NCAA D1 - Men,24,american_football-men,FBS,January,1892,1/1/1892,Yale University,"New Haven, Connecticut"
NCAA D1 - Men,25,american_football-men,FBS,January,1893,1/1/1893,Yale University,"New Haven, Connecticut"
NCAA D1 - Men,26,american_football-men,FBS,January,1894,1/1/1894,Princeton University,"Princeton, New Jersey"
NCAA D1 - Men,27,american_football-men,FBS,January,1895,1/1/1895,Yale University,"New Haven, Connecticut"
NCAA D1 - Men,28,american_football-men,FBS,January,1896,1/1/1896,University of Pennsylvania,"Philadelphia, Pennsylvania"
NCAA D1 - Men,29,american_football-men,FBS,January,1897,1/1/1897,Lafayette College,"Easton, Pennsylvania"
NCAA D1 - Men,30,american_football-men,FBS,January,1897,1/1/1897,Princeton University,"Princeton, New Jersey"
NCAA D1 - Men,31,american_football-men,FBS,January,1898,1/1/1898,University of Pennsylvania,"Philadelphia, Pennsylvania"
NCAA D1 - Men,32,american_football-men,FBS,January,1899,1/1/1899,Harvard University,"Cambridge, Massachusetts"
NCAA D1 - Men,33,american_football-men,FBS,January,1900,1/1/1900,Harvard University,"Cambridge, Massachusetts"
NCAA D1 - Men,34,american_football-men,FBS,January,1901,1/1/1901,Yale University,"New Haven, Connecticut"
NCAA D1 - Men,35,american_football-men,FBS,January,1902,1/1/1902,University of Michigan,"Ann Arbor, Michigan"
NCAA D1 - Men,36,american_football-men,FBS,January,1903,1/1/1903,University of Michigan,"Ann Arbor, Michigan"
MLB,37,baseball,world series,October,1903,10/1/1903,Boston Americans,"Boston, Massachusetts"
NCAA D1 - Men,38,american_football-men,FBS,January,1904,1/1/1904,University of Michigan,"Ann Arbor, Michigan"
NCAA D1 - Men,39,american_football-men,FBS,January,1904,1/1/1904,Princeton University,"Princeton, New Jersey"
MLB,40,baseball,world series,October,1904,10/1/1904,,
NCAA D1 - Men,41,american_football-men,FBS,January,1905,1/1/1905,University of Michigan,"Ann Arbor, Michigan"
NCAA D1 - Men,42,american_football-men,FBS,January,1905,1/1/1905,University of Pennsylvania,"Philadelphia, Pennsylvania"
MLB,43,baseball,world series,October,1905,10/1/1905,New York Giants,"New York, New York"
NCAA D1 - Men,44,american_football-men,FBS,January,1906,1/1/1906,University of Chicago,"Chicago, Illinois"
MLB,45,baseball,world series,October,1906,10/1/1906,Chicago White Sox,"Chicago, Illinois"
NCAA D1 - Men,46,american_football-men,FBS,January,1907,1/1/1907,Princeton University,"Princeton, New Jersey"
MLB,47,baseball,world series,October,1907,10/1/1907,Chicago Cubs,"Chicago, Illinois"
NCAA D1 - Men,48,american_football-men,FBS,January,1908,1/1/1908,Yale University,"New Haven, Connecticut"
MLB,49,baseball,world series,October,1908,10/1/1908,Chicago Cubs,"Chicago, Illinois"
NCAA D1 - Men,50,american_football-men,FBS,January,1909,1/1/1909,Louisiana State University,"Baton Rouge, Louisiana"
NCAA D1 - Men,51,american_football-men,FBS,January,1909,1/1/1909,University of Pennsylvania,"Philadelphia, Pennsylvania"
MLB,52,baseball,world series,October,1909,10/1/1909,Pittsburgh Pirates,"Pittsburgh, Pennsylvania"
CRU,53,canadian_football,Dominion Amateur Rugby Football Championship,December,1909,12/1/1909,University of Toronto Varsity Blues,"Toronto, Ontario"
NCAA D1 - Men,54,american_football-men,FBS,January,1910,1/1/1910,Yale University,"New Haven, Connecticut"
