league,first,trophySelector,colour,sport,championship,trophy,month,nextStep,prevStep,whereToNext,whereToPrev,yearFirst,year,number,date,note,t1,t1loc,t1coord,t2,t2loc,t2coord,t3,t3loc,t3coord,t4,t4loc,t4coord
NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,step41,step36,54,33,1904,1904,38,1/1/1904,"NCF, HAF, NCF",University of Michigan,"Ann Arbor, Michigan","[-83.7430378, 42.2808256]",,,,,,,,,
NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,step41,step38,54,33,,1904,39,1/1/1904,"NCF, HAF, NCF",Princeton University,"Princeton, New Jersey","[-74.6672226, 40.3572976]",,,,,,,,,
MLB,FALSE,trophy-MLB,#beaed4,baseball,world series,Commissioner's Trophy,October,step41,step38,54,33,,1904,40,10/1/1904,"In 1904, there was no World Series played, due to a business rivalry between thhe American League and the National League.",,,,,,,Boston Americans,"Boston, Massachusetts","[-71.0588801, 42.3600825]",New York Giants,"New York, New York","[-74.0059728, 40.7127753]"
NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,step44,step38,54,33,1905,1905,41,1/1/1905,"NCF, HAF, NCF",University of Michigan,"Ann Arbor, Michigan","[-83.7430378, 42.2808256]",,,,,,,,,
NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,step44,step41,54,33,,1905,42,1/1/1905,"NCF, HAF, NCF",University of Pennsylvania,"Philadelphia, Pennsylvania","[-75.1652215, 39.9525839]",,,,,,,,,
MLB,FALSE,trophy-MLB,#beaed4,baseball,world series,Commissioner's Trophy,October,step44,step41,54,33,,1905,43,10/1/1905,,New York Giants,"New York, New York","[-74.0059728, 40.7127753]",Philadelphia Athletics,"Philadelphia, Pennsylvania","[-75.1652215, 39.9525839]",Chicago White Sox,"Chicago, Illinois","[-87.6297982, 41.8781136]",Pittsburgh Pirates,"Pittsburgh, Pennsylvania","[-79.9958864, 40.4406247999999]"
NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,step46,step41,54,33,1906,1906,44,1/1/1906,"HAF, NCF",University of Chicago,"Chicago, Illinois","[-87.6297982, 41.8781136]",,,,,,,,,
MLB,FALSE,trophy-MLB,#beaed4,baseball,world series,Commissioner's Trophy,October,step46,step44,54,33,,1906,45,10/1/1906,,Chicago White Sox,"Chicago, Illinois","[-87.6297982, 41.8781136]",Chicago Cubs,"Chicago, Illinois","[-87.6297982, 41.8781136]",New York Highlanders,"New York, New York","[-74.0059728, 40.7127753]",New York Giants,"New York, New York","[-74.0059728, 40.7127753]"
NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,step48,step44,54,33,1907,1907,46,1/1/1907,"HAF, NCF",Princeton University,"Princeton, New Jersey","[-74.6672226, 40.3572976]",,,,,,,,,
MLB,FALSE,trophy-MLB,#beaed4,baseball,world series,Commissioner's Trophy,October,step48,step46,54,33,,1907,47,10/1/1907,,Chicago Cubs,"Chicago, Illinois","[-87.6297982, 41.8781136]",Detroit Tigers,"Detroit, Michigan","[-83.0457538, 42.331427]",Philadelphia Athletics,"Philadelphia, Pennsylvania","[-75.1652215, 39.9525839]",Pittsburgh Pirates,"Pittsburgh, Pennsylvania","[-79.9958864, 40.4406247999999]"
NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,step50,step46,54,33,1908,1908,48,1/1/1908,"HAF, NCF",Yale University,"New Haven, Connecticut","[-72.9278835, 41.308274]",,,,,,,,,
MLB,FALSE,trophy-MLB,#beaed4,baseball,world series,Commissioner's Trophy,October,step50,step48,54,33,,1908,49,10/1/1908,,Chicago Cubs,"Chicago, Illinois","[-87.6297982, 41.8781136]",Detroit Tigers,"Detroit, Michigan","[-83.0457538, 42.331427]",Cleveland Naps,"Cleveland, Ohio","[-81.6943605, 41.49932]",New York Giants,"New York, New York","[-74.0059728, 40.7127753]"
NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,step54,step48,54,33,1909,1909,50,1/1/1909,"NCF, HAF, NCF",Louisiana State University,"Baton Rouge, Louisiana","[-91.1871465999999, 30.4514677]",,,,,,,,,
NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,step54,step50,54,33,,1909,51,1/1/1909,"NCF, HAF, NCF",University of Pennsylvania,"Philadelphia, Pennsylvania","[-75.1652215, 39.9525839]",,,,,,,,,
