year,word1,word2,totalOccurences,totalPer,total
1980,he,starts,123,16.26,2
1980,he,stops,123,16.26,2
1980,he,tips,123,16.26,2
1980,he,told,123,16.26,2
1980,he,waved,123,16.26,2
1980,he,calls,123,8.13,1
1980,he,drinks,123,8.13,1
1980,he,found,123,8.13,1
1980,he,hare,123,8.13,1
1980,he,hit,123,8.13,1
1980,he,hurt,123,8.13,1
1980,he,jumps,123,8.13,1
1980,he,killed,123,8.13,1
1980,he,laid,123,8.13,1
1980,he,lays,123,8.13,1
1980,he,leads,123,8.13,1
1980,he,leaves,123,8.13,1
1980,he,loved,123,8.13,1
1980,he,picks,123,8.13,1
1980,he,received,123,8.13,1
1980,he,rides,123,8.13,1
1980,he,rolls,123,8.13,1
1980,he,seeks,123,8.13,1
1980,he,shouted,123,8.13,1
1980,he,spoke,123,8.13,1
1980,he,started,123,8.13,1
1980,he,swooned,123,8.13,1
1980,he,takes,123,8.13,1
1981,he,read,89,44.944,4
1981,he,dejado,89,33.708,3
1981,he,died,89,33.708,3
1981,he,expected,89,33.708,3
1981,he,knocked,89,33.708,3
1981,he,liberado,89,33.708,3
1981,he,bought,89,11.236,2
1981,he,called,89,22.472,2
1981,he,cleaned,89,22.472,2
1981,he,escape,89,22.472,2
1981,he,lay,89,22.472,2
1981,he,leave,89,22.472,2
1981,he,licks,89,22.472,2
1981,he,live,89,22.472,2
1981,he,looked,89,22.472,2
1981,he,misses,89,22.472,2
1981,he,picked,89,22.472,2
1981,he,reaches,89,22.472,2
1981,he,speaks,89,22.472,2
1981,he,stood,89,22.472,2
1981,he,tryin,89,22.472,2
1981,he,wished,89,22.472,2
1981,he,appeared,89,11.236,1
1981,he,break,89,11.236,1
1981,he,burns,89,11.236,1
1981,he,crossed,89,11.236,1
1981,he,drags,89,11.236,1
1981,he,feel,89,11.236,1
1981,he,forget,89,11.236,1
1981,he,fought,89,11.236,1
1981,he,found,89,11.236,1
1981,he,hated,89,11.236,1
1981,he,heard,89,11.236,1
1981,he,held,89,11.236,1
1981,he,kissed,89,11.236,1
1981,he,learn,89,11.236,1
1981,he,left,89,11.236,1
1981,he,love,89,11.236,1
1981,he,loves,89,11.236,1
1981,he,makes,89,11.236,1
1981,he,pays,89,11.236,1
1981,he,plants,89,11.236,1
1981,he,rides,89,11.236,1
1981,he,screamed,89,11.236,1
1981,he,shadows,89,11.236,1
1981,he,shouts,89,11.236,1
1981,he,sings,89,11.236,1
1981,he,sits,89,11.236,1
1981,he,smiled,89,11.236,1
1981,he,spent,89,11.236,1
1981,he,stares,89,11.236,1
1981,he,starts,89,11.236,1
1981,he,stayed,89,11.236,1
1981,he,stop,89,11.236,1
1981,he,taught,89,11.236,1
1981,he,throwing,89,11.236,1
1981,he,warned,89,11.236,1
1981,he,watched,89,11.236,1
1981,he,wears,89,11.236,1
1982,he,means,113,70.796,8
1982,he,earned,113,53.097,6
1982,he,left,113,53.097,6
1982,he,likes,113,44.248,5
1982,he,moved,113,17.699,4
1982,he,heard,113,26.549,3
1982,he,makes,113,26.549,3
1982,he,drives,113,17.699,2
1982,he,grew,113,17.699,2
1982,he,hurts,113,17.699,2
1982,he,lies,113,17.699,2
1982,he,lived,113,17.699,2
1982,he,looked,113,17.699,2
1982,he,plays,113,17.699,2
1982,he,secret,113,17.699,2
1982,he,sentenced,113,17.699,2
1982,he,shot,113,8.85,2
1982,he,sits,113,17.699,2
1982,he,spent,113,17.699,2
