category,cat_word,genre,year,pronoun,word1,word2,word,total,,,,
she,she-taught,all,1970,she,she,taught,taught,10,,,,
she,she-fills,all,1970,she,she,fills,fills,9,,,,
she,she-found,all,1970,she,she,found,found,9,,,,
she,she-lays,all,1970,she,she,lays,lays,9,,,,
she,she-accepts,all,1970,she,she,accepts,accepts,8,,,,
she,she-cries,all,1970,she,she,cries,cries,8,,,,
she,she-fell,all,1970,she,she,fell,fell,8,,,,
she,she-held,all,1970,she,she,held,held,8,,,,
she,she-move,all,1970,she,she,move,move,8,,,,
she,she-moves,all,1970,she,she,moves,moves,8,,,,
she,she-ran,all,1970,she,she,ran,ran,8,,,,
she,she-sails,all,1970,she,she,sails,sails,8,,,,
hers,hers-eyes,all,1970,her,her,eyes,eyes,74,,,,
hers,hers-hair,all,1970,her,her,hair,hair,47,,,,
hers,hers-love,all,1970,her,her,love,love,47,,,,
hers,hers-head,all,1970,her,her,head,head,30,,,,
hers,hers-fingers,all,1970,her,her,fingers,fingers,29,,,,
hers,hers-heart,all,1970,her,her,heart,heart,27,,,,
hers,hers-hand,all,1970,her,her,hand,hand,21,,,,
hers,hers-dresses,all,1970,her,her,dresses,dresses,18,,,,
hers,hers-life,all,1970,her,her,life,life,18,,,,
hers,hers-tonite,all,1970,her,her,tonite,tonite,17,,,,
hers,hers-memory,all,1970,her,her,memory,memory,16,,,,
hers,hers-messin,all,1970,her,her,messin,messin,15,,,,
hers,hers-mine,all,1970,her,her,mine,mine,15,,,,
hers,hers-arms,all,1970,her,her,arms,arms,14,,,,
hers,hers-mind,all,1970,her,her,mind,mind,13,,,,
hers,hers-smile,all,1970,her,her,smile,smile,13,,,,
hers,hers-voice,all,1970,her,her,voice,voice,11,,,,
hers,hers-doorway,all,1970,her,her,doorway,doorway,10,,,,
hers,hers-father,all,1970,her,her,father,father,10,,,,
hers,hers-hands,all,1970,her,her,hands,hands,10,,,,
hers,hers-sharing,all,1970,her,her,sharing,sharing,10,,,,
hers,hers-skin,all,1970,her,her,skin,skin,10,,,,
hers,hers-walk,all,1970,her,her,walk,walk,10,,,,
hers,hers-yeah,all,1970,her,her,yeah,yeah,10,,,,
hers,hers-body,all,1970,her,her,body,body,9,,,,
hers,hers-clothes,all,1970,her,her,clothes,clothes,9,,,,
hers,hers-eye,all,1970,her,her,eye,eye,9,,,,
hers,hers-favorite,all,1970,her,her,favorite,favorite,9,,,,
hers,hers-talk,all,1970,her,her,talk,talk,9,,,,
hers,hers-time,all,1970,her,her,time,time,9,,,,
her,her-her,all,1970,her,love,her,love,52,,,,
her,her-her,all,1970,her,run,her,run,27,,,,
her,her-her,all,1970,her,shot,her,shot,27,,,,
her,her-her,all,1970,her,lost,her,lost,25,,,,
her,her-her,all,1970,her,leave,her,leave,19,,,,
her,her-her,all,1970,her,wore,her,wore,18,,,,
her,her-her,all,1970,her,caught,her,caught,17,,,,
her,her-her,all,1970,her,forget,her,forget,17,,,,
her,her-her,all,1970,her,call,her,call,16,,,,
her,her-her,all,1970,her,left,her,left,13,,,,
her,her-her,all,1970,her,hold,her,hold,12,,,,
her,her-her,all,1970,her,loved,her,loved,12,,,,
her,her-her,all,1970,her,told,her,told,11,,,,
her,her-her,all,1970,her,broke,her,broke,10,,,,
her,her-her,all,1970,her,hear,her,hear,10,,,,
her,her-her,all,1970,her,heard,her,heard,9,,,,
her,her-her,all,1970,her,talk,her,talk,9,,,,
her,her-her,all,1970,her,found,her,found,8,,,,
her,her-her,all,1970,her,kissed,her,kissed,8,,,,
her,her-her,all,1970,her,seed,her,seed,8,,,,
her,her-her,all,1970,her,smell,her,smell,8,,,,
her,her-her,all,1970,her,smile,her,smile,8,,,,
her,her-her,all,1970,her,watch,her,watch,8,,,,
her,her-her,all,1970,her,change,her,change,7,,,,
her,her-her,all,1970,her,eyes,her,eyes,7,,,,
her,her-her,all,1970,her,follow,her,follow,7,,,,
her,her-her,all,1970,her,lifted,her,lifted,7,,,,
her,her-her,all,1970,her,met,her,met,7,,,,
her,her-her,all,1970,her,rip,her,rip,7,,,,
her,her-her,all,1970,her,skin,her,skin,7,,,,
he,he-loves,all,1980,he,he,loves,loves,51,,,,
he,he-bop,all,1980,he,he,bop,bop,36,,,,
he,he-looked,all,1980,he,he,looked,looked,24,,,,
he,he-makes,all,1980,he,he,makes,makes,24,,,,
he,he-likes,all,1980,he,he,likes,likes,22,,,,
he,he-walks,all,1980,he,he,walks,walks,22,,,,
he,he-stands,all,1980,he,he,stands,stands,20,,,,
he,he-heard,all,1980,he,he,heard,heard,19,,,,
he,he-takes,all,1980,he,he,takes,takes,19,,,,
he,he-bought,all,1980,he,he,bought,bought,18,,,,
he,he-taught,all,1980,he,he,taught,taught,17,,,,
he,he-feels,all,1980,he,he,feels,feels,16,,,,
he,he-calls,all,1980,he,he,calls,calls,15,,,,
he,he-cries,all,1980,he,he,cries,cries,14,,,,
he,he-told,all,1980,he,he,told,told,14,,,,
he,he-drives,all,1980,he,he,drives,drives,13,,,,
he,he-means,all,1980,he,he,means,means,13,,,,
he,he-walked,all,1980,he,he,walked,walked,13,,,,
he,he-brings,all,1980,he,he,brings,brings,12,,,,
he,he-earned,all,1980,he,he,earned,earned,12,,,,
he,he-kissed,all,1980,he,he,kissed,kissed,12,,,,
he,he-left,all,1980,he,he,left,left,12,,,,
he,he-spreads,all,1980,he,he,spreads,spreads,12,,,,
he,he-lived,all,1980,he,he,lived,lived,11,,,,
he,he-speaks,all,1980,he,he,speaks,speaks,11,,,,
he,he-starts,all,1980,he,he,starts,starts,11,,,,
he,he-,all,1980,,,,,,,,,
he,he-,all,1980,,,,,,,,,
he,he-,all,1980,,,,,,,,,
he,he-,all,1980,,,,,,,,,
his,his-eyes,all,1980,his,his,eyes,eyes,78,,,,
his,his-blood,all,1980,his,his,blood,blood,64,,,,
his,his-hand,all,1980,his,his,hand,hand,57,,,,
his,his-life,all,1980,his,his,life,life,52,,,,
his,his-head,all,1980,his,his,head,head,49,,,,
his,his-heart,all,1980,his,his,heart,heart,43,,,,
his,his-garment,all,1980,his,his,garment,garment,40,,,,
his,his-love,all,1980,his,his,love,love,36,,,,
