tweet_number,created_at,timestamp,text
63,1/30/2017 13:31:00,1/30/2017 9:31:00,"If the ban were announced with a one week notice, the ""bad"" would rush into our country during that week. A lot of bad ""dudes"" out there!"
64,1/30/2017 13:43:25,1/30/2017 9:43:25,I have made my decision on who I will nominate for The United States Supreme Court. It will be announced live on Tuesday at 8:00 P.M. (W.H.)
65,1/30/2017 14:23:49,1/30/2017 10:23:49,Where was all the outrage from Democrats and the opposition party (the media) when our jobs were fleeing our country?
66,1/30/2017 21:07:52,1/30/2017 17:07:52,"The American dream is back. We’re going to create an environment for small business like we haven’t had in many, ma… https://t.co/Bh7SrNEgz1"
67,1/31/2017 0:45:50,1/30/2017 20:45:50,The Democrats are delaying my cabinet picks for purely political reasons. They have nothing going but to obstruct. Now have an Obama A.G.
68,1/31/2017 11:21:52,1/31/2017 7:21:52,Nancy Pelosi and Fake Tears Chuck Schumer held a rally  at the steps of The Supreme Court and mic did not work (a mess)-just like Dem party!
69,1/31/2017 11:27:02,1/31/2017 7:27:02,When will the Democrats give us our Attorney General and rest of Cabinet! They should be ashamed of themselves! No wonder D.C. doesn't work!
70,2/1/2017 0:31:08,1/31/2017 20:31:08,Getting ready to deliver a VERY IMPORTANT DECISION!  8:00 P.M.
71,2/1/2017 1:01:03,1/31/2017 21:01:03,"Join me live from the @WhiteHouse.
https://t.co/LHOs4nAaGl"
72,2/1/2017 3:45:26,1/31/2017 23:45:26,"Hope you like my nomination of Judge Neil Gorsuch for the United States Supreme Court. He is a good and brilliant man, respected by all."
73,2/1/2017 12:50:16,2/1/2017 8:50:16,"Everybody is arguing whether or not it is a BAN. Call it what you want, it is about keeping bad people (with bad intentions) out of country!"
74,2/2/2017 3:06:14,2/1/2017 23:06:14,Iran is rapidly taking over more and more of Iraq even after the U.S. has squandered three trillion dollars there. Obvious long ago!
75,2/2/2017 3:55:49,2/1/2017 23:55:49,Do you believe it? The Obama Administration agreed to take thousands of illegal immigrants from Australia. Why? I will study this dumb deal!
76,2/2/2017 11:13:13,2/2/2017 7:13:13,If U.C. Berkeley does not allow free speech and practices violence on innocent people with a different point of view - NO FEDERAL FUNDS?
77,2/2/2017 11:18:21,2/2/2017 7:18:21,Congratulations to Rex Tillerson on being sworn in as our new Secretary of State. He will be a star!
78,2/2/2017 11:25:40,2/2/2017 7:25:40,Attending Chief Ryan Owens' Dignified Transfer yesterday with my daughter Ivanka was my great honor. To a great and brave man - thank you!
79,2/2/2017 11:34:36,2/2/2017 7:34:36,Iran has been formally PUT ON NOTICE for firing a ballistic missile.Should have been thankful for the terrible deal the U.S. made with them!
80,2/2/2017 11:39:49,2/2/2017 7:39:49,Iran was on its last legs and ready to collapse until the U.S. came along and gave it a life-line in the form of the Iran Deal: $150 billion
81,2/2/2017 17:29:16,2/2/2017 13:29:16,"Thank you, @Samsung! We would love to have you! https://t.co/r5nxC9oOA4"
82,2/3/2017 11:24:51,2/3/2017 7:24:51,"Yes, Arnold Schwarzenegger did a really bad job as Governor of California and even worse on the Apprentice...but at least he tried hard!"
